Radio Hex Data Log - COM7 @ 115200 baud
Started: 2026-01-05 17:12:02
[2026-01-05 17:28:16.460] 81110017e08849000c8100000000100b8600aec8b21750bd
[2026-01-05 17:28:16.858] 81110007e0882b00098100000000002012205ce088335f32
[2026-01-05 17:28:18.139] 8111000ce0884900058100000000002403002de0882943ae
[2026-01-05 17:28:21.611] 81110017e088490017810000000008270680cdc8b1bc3281
[2026-01-05 17:28:22.664] 8111000fe0884900148140c0000020270780e3c8b1bc239e
[2026-01-05 17:28:24.744] 81110017e0882b000f81000000000824060042e087e93286
[2026-01-05 17:28:27.424] 81110016e08849000a8100000000000b800096e085f8525b
[2026-01-05 17:28:28.341] 81110010e0882b0006810000000010178600b4c8b179522c
[2026-01-05 17:28:29.297] 81110004e0882b0007
[2026-01-05 17:28:29.307] 8140000000002303006ec8ae905fc1
[2026-01-05 17:28:29.675] 81110007e0882b00088100000000001680009fc8b13c2a9d
[2026-01-05 17:28:31.371] 8111000fe0884900048100000000001680009bc8b1755f
[2026-01-05 17:28:31.391] 03
[2026-01-05 17:28:31.906] 81110017e0884900108141af33330017821010c8af2b5a9c
[2026-01-05 17:28:41.808] 81110004e08849000181000000000021010024c8aeba433b
[2026-01-05 17:28:42.646] 8111000de0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:28:46.387] 81110015e0882b000d8100000000082306003fc8afc03469
[2026-01-05 17:28:57.456] 81110015e0882b000281000000000015800098c8b14c3cb1
[2026-01-05 17:29:08.698] 8111000de0882b00098100000000002112205de088335f34
[2026-01-05 17:29:09.274] 81120008
[2026-01-05 17:29:09.285] e0882b000b870000000000460046009ee088355fb8
[2026-01-05 17:29:12.248] 81110015e0882b000b8100000000002300002fe0883550cb
[2026-01-05 17:29:13.320] 81110015e088490005813f80000000240300ece08829230c
[2026-01-05 17:29:16.163] 81110017e08849000c8100000000100b8600aec8b2175fcc
[2026-01-05 17:29:19.700] 81110014e0882b000f81000000000824060042e087e92377
[2026-01-05 17:29:20.353] 81110015e088490016810000000008270680ccc8b1bc3e8b
[2026-01-05 17:29:20.974] 8111000fe088490017810000000008270680cdc8b1bc2574
[2026-01-05 17:29:21.823] 81110015e0884900148140c0000020270780e3c8b1bc0a85
[2026-01-05 17:29:24.205] 8111001be0882b0007813f80000000230300edc8ae905fbf
[2026-01-05 17:29:27.638] 81110013e08849000a8100000000000b800096e085f85059
[2026-01-05 17:29:28.425] 8111000be0882b0006810000000010178600b4c8b1794d27
[2026-01-05 17:29:29.393] 81110017e0882b00088100000000001680009fc8b13c1b8e
[2026-01-05 17:29:31.622] 81110014e0884900048100000000001680009bc8b1755f03
